Customer No.,Exposure at Default,Recovery,Probability of Default,Recovered Money
4427,18.04,18.48,0.0033,3.333792
4428,21.92,34.64,0.0054,7.593088
4429,14.02,32.65,0.0088,4.57753
4430,22.47,28.76,0.006,6.462372
4431,1.98,2.15,0.0059,0.04257
4432,11.87,5.54,0.006,0.657598
4433,9.07,7.88,0.0016,0.714716
4434,11.37,21.55,0.004,2.450235
4435,6.35,32.97,0.0082,2.093595
4436,17.15,27.95,0.0057,4.793425
4437,19.48,14.8,0.008,2.88304
4438,17,1.74,0.0006,0.2958
4439,12.9,24.75,0.0091,3.19275
4440,15.57,3.16,0.0057,0.492012
4441,16.73,0.97,0.0088,0.162281
4442,15.92,29.1,0.0016,4.63272
4443,4.32,8.6,0.0077,0.37152
4444,8.21,28.09,0.0005,2.306189
4445,19.74,4.13,0.0097,0.815262
4446,0.12,35.69,0.0011,0.042828
4447,11.4,24.26,0.0098,2.76564
4448,1.12,34.77,0.0093,0.389424
4449,15.87,10.85,0.0055,1.721895
4450,0.27,35.96,0.0074,0.097092
4451,24.71,6.43,0.0077,1.588853
4452,23.5,36.23,0.0076,8.51405
4453,24.57,13.44,0.0072,3.302208
4454,22.54,4.96,0.0042,1.117984
4455,23.75,31,0.0011,7.3625
4456,24.69,12.97,0.0036,3.202293
4457,24.07,17.11,0.0093,4.118377
4458,24.43,29.94,0.0049,7.314342
4459,21.42,39.95,0.0049,8.55729
4460,18.74,1.57,0.0097,0.294218
4461,7.01,12.94,0.0074,0.907094
4462,5.95,0.9,0.0049,0.05355
4463,4.13,6.34,0.0017,0.261842
4464,23.97,29.16,0.0077,6.989652
4465,8.31,19.58,0.0009,1.627098
4466,22.53,7.45,0.0069,1.678485
4467,12.44,24.53,0.0022,3.051532
4468,13.13,37.52,0.0044,4.926376
4469,14.56,9.96,0.0019,1.450176
4470,1.04,3.53,0.0052,0.036712
4471,6.57,10.03,0.0084,0.658971
4472,18.78,0.29,0.0049,0.054462
4473,16.86,25.18,0.0054,4.245348
4474,7.02,3.79,0.0065,0.266058
4475,18.44,29.38,0.003,5.417672
4476,24.88,16.86,0.007,4.194768
4477,11.98,11.96,0.0046,1.432808
4478,5.72,16.79,0.0044,0.960388
4479,5.26,22.39,0.0063,1.177714
4480,4.94,19.03,0.002,0.940082
4481,20.03,17.78,0.0048,3.561334
4482,19.17,8.35,0.005,1.600695
4483,14.44,3.17,0.0049,0.457748
4484,5.53,29.47,0.0011,1.629691
4485,19.64,14.51,0.0029,2.849764
4486,3.96,24.31,0.0028,0.962676
4487,7.24,7.13,0.0016,0.516212
4488,16.06,8.7,0.0072,1.39722
4489,5.29,34.04,0.0015,1.800716
4490,12.9,31.41,0.003,4.05189
4491,4.09,3.94,0.0056,0.161146
4492,11.07,15.45,0.0015,1.710315
4493,10.28,16.11,0.0013,1.656108
4494,23.37,5.67,0.0029,1.325079
4495,10.36,11.88,0.0002,1.230768
4496,10.09,35.95,0.0017,3.627355
4497,24.78,13.87,0.0056,3.436986
4498,20.46,2.81,0.0012,0.574926
4499,23.18,32.93,0.0028,7.633174
4500,5.81,36.65,0.0025,2.129365
4501,12.35,2.68,0.0003,0.33098
4502,5.34,38.5,0.0091,2.0559
4503,16.71,0.68,0.0089,0.113628
4504,0.1,5.16,0.0032,0.00516
4505,15.42,2.02,0.0049,0.311484
4506,18.03,12.52,0.0084,2.257356
4507,0.46,30.76,0.0041,0.141496
4508,8.07,38.79,0.0073,3.130353
4509,19.05,15.27,0.0071,2.908935
4510,1.08,38.87,0.008,0.419796
4511,1.47,21.06,0.0035,0.309582
4512,5.88,34.35,0.0053,2.01978
4513,21.34,8.85,0.0009,1.88859
4514,18.42,8,0.0003,1.4736
4515,18,26.79,0.0014,4.8222
4516,5.31,6.84,0.0068,0.363204
4517,22.14,27.14,0.0052,6.008796
4518,22.87,8.22,0.0089,1.879914
4519,10.95,14.24,0.0087,1.55928
4520,7.19,3.2,0.0091,0.23008
4521,22.73,30.69,0.0086,6.975837
4522,5.28,36.81,0.0042,1.943568
4523,22.71,27.68,0.0098,6.286128
4524,0.03,25.67,0.0051,0.007701
4525,21.84,39.67,0.0075,8.663928
4526,12.34,6.85,0.0092,0.84529
4527,4.89,1.38,0.0028,0.067482
4528,4.25,22.9,0.01,0.97325
4529,11.74,3.77,0.0019,0.442598
4530,18.67,10.01,0.0075,1.868867
4531,7.17,31.92,0.0065,2.288664
4532,24.98,21.82,0.0064,5.450636
4533,13.25,36.02,0.0044,4.77265
4534,0.22,14.87,0.0045,0.032714
4535,10.52,33.98,0.0046,3.574696
4536,17.28,34.47,0.0069,5.956416
4537,11.98,10.9,0.0028,1.30582
4538,4.31,26.05,0.0031,1.122755
4539,10.79,19.65,0.0091,2.120235
4540,2.28,12.05,0.0076,0.27474
4541,12.44,14.45,0.003,1.79758
4542,5.32,6.18,0.007,0.328776
4543,3.28,5.1,0.0029,0.16728
4544,4.04,22.26,0.0012,0.899304
4545,1.26,36.93,0.0079,0.465318
4546,11.98,8.44,0.0083,1.011112
4547,20.27,23.61,0.0032,4.785747
4548,0.32,24.95,0.0009,0.07984
4549,6.08,15.83,0.0042,0.962464
4550,10.79,4.85,0.0048,0.523315
4551,11.67,6.41,0.0042,0.748047
4552,21.13,21.62,0.0027,4.568306
4553,21.47,30.12,0.0022,6.466764
4554,20.81,33.55,0.0035,6.981755
4555,17.95,17.78,0.0008,3.19151
4556,12.25,18.21,0.0028,2.230725
4557,2.03,6.88,0.002,0.139664
4558,15.67,33.49,0.0001,5.247883
4559,19.78,25.92,0.0065,5.126976
4560,1.85,28.48,0.0092,0.52688
4561,9.03,7.99,0.0098,0.721497
4562,0.88,0.77,0.0047,0.006776
4563,15.59,8.32,0.0098,1.297088
4564,8.77,20.26,0.0077,1.776802
4565,12.06,15.28,0.0037,1.842768
4566,5.72,29.6,0.0024,1.69312
4567,11.85,34.65,0.0059,4.106025
4568,3.51,16.76,0.0037,0.588276
4569,19.94,15.54,0.0076,3.098676
4570,24.57,17.73,0.0045,4.356261
4571,13.72,15.68,0.0064,2.151296
4572,16.71,12.93,0.0007,2.160603
4573,2.12,31.37,0.0021,0.665044
4574,9.19,37.66,0.0073,3.460954
4575,1.83,2.03,0.0015,0.037149
4576,16.96,23.4,0.0014,3.96864
4577,0.16,2.77,0.0008,0.004432
4578,7.26,23.23,0.0019,1.686498
4579,7.5,1.51,0.0092,0.11325
4580,11.36,14.82,0.0073,1.683552
4581,15.72,25.99,0.0086,4.085628
4582,9.89,29.68,0.0019,2.935352
4583,4.8,11.81,0.0048,0.56688
4584,7.93,29.58,0.0005,2.345694
4585,9.94,19.82,0.0082,1.970108
4586,3.46,1.85,0.006,0.06401
4587,15.84,8.51,0.0032,1.347984
4588,24.02,21.29,0.0021,5.113858
4589,13.01,31.92,0.0094,4.152792
4590,2.24,21.7,0.0029,0.48608
4591,14.87,7.5,0.0097,1.11525
4592,18.03,25.63,0.0022,4.621089
4593,1.42,29.97,0.0096,0.425574
4594,0.48,11.94,0.0042,0.057312
4595,17.7,0.21,0.0092,0.03717
4596,6.48,0.03,0.0003,0.001944
4597,18.45,38.18,0.0037,7.04421
4598,4.84,3.5,0.0016,0.1694
4599,24.03,24.96,0.0033,5.997888
4600,24.24,0.67,0.0071,0.162408
4601,14.03,9.43,0.0098,1.323029
4602,6.31,32.2,0.0072,2.03182
4603,15.45,19.94,0.0067,3.08073
4604,2.01,22.03,0.0005,0.442803
4605,4.26,38.54,0.009,1.641804
4606,6.03,15.4,0.0077,0.92862
4607,20.8,11.37,0.0074,2.36496
4608,0.36,29.03,0.0096,0.104508
4609,7.13,8.49,0.0058,0.605337
4610,1.75,2.12,0.0052,0.0371
4611,21.86,34.56,0.0091,7.554816
4612,13.5,22.01,0.0098,2.97135
4613,19.03,9.01,0.0084,1.714603
4614,0.48,32.31,0.0036,0.155088
4615,2.9,24.68,0.0047,0.71572
4616,3.68,27.81,0.0076,1.023408
4617,2.99,9.05,0.0091,0.270595
4618,17.72,16.05,0.0086,2.84406
4619,8.36,24.06,0.002,2.011416
4620,18.67,6.6,0.0005,1.23222
4621,10,23.88,0.0015,2.388
4622,0.28,6.17,0.0062,0.017276
4623,19.5,28.05,0.0088,5.46975
4624,10.15,3.15,0.002,0.319725
4625,2.13,32.96,0.004,0.702048
4626,0.19,10.42,0.0059,0.019798
4627,6.68,33.94,0.0091,2.267192
4628,24.25,26.41,0.006,6.404425
4629,23.28,32.94,0.0027,7.668432
4630,18.59,21.53,0.0083,4.002427
4631,17.65,0.35,0.008,0.061775
4632,11.25,17.76,0.0087,1.998
4633,20.76,12.4,0.0091,2.57424
4634,3.17,39.35,0.0018,1.247395
4635,18.75,1.22,0.003,0.22875
4636,7.12,0.49,0.0092,0.034888
4637,1.69,22.5,0.0026,0.38025
4638,20.96,22.26,0.006,4.665696
4639,11.19,30.51,0.0095,3.414069
4640,11.44,17.34,0.0015,1.983696
4641,16.49,26.7,0.0027,4.40283
4642,9.58,33.28,0.0059,3.188224
4643,14.08,32.55,0.0028,4.58304
4644,23.6,31.29,0.0058,7.38444
4645,11.15,19.68,0.0067,2.19432
4646,0.53,5.24,0.0046,0.027772
4647,17.78,1.71,0.0056,0.304038
4648,2.4,7.2,0.0089,0.1728
4649,2.33,8.89,0.0024,0.207137
4650,19.44,30.74,0.0036,5.975856
4651,20.35,9.54,0.005,1.94139
4652,19.86,19.84,0.0076,3.940224
4653,15.2,3.68,0.0067,0.55936
4654,24.47,4.52,0.001,1.106044
4655,14.37,36.62,0.0084,5.262294
4656,19.98,16.14,0.0048,3.224772
4657,18.35,31.87,0.0095,5.848145
4658,1.86,36.22,0.0074,0.673692
4659,21.36,35.93,0.0061,7.674648
4660,0.96,35.3,0.0092,0.33888
4661,17.99,12.36,0.0055,2.223564
4662,23.77,31.81,0.0002,7.561237
4663,5.98,22.09,0.0052,1.320982
4664,12.62,36.16,0.0087,4.563392
4665,16.17,27.39,0.0024,4.428963
4666,1.69,25.04,0.0046,0.423176
4667,15.71,8.23,0.0036,1.292933
4668,21.85,22,0.0032,4.807
4669,4.25,14.71,0.0074,0.625175
4670,6.14,34.06,0.0094,2.091284
4671,9.95,24.67,0.0072,2.454665
4672,8.97,10.86,0.0069,0.974142
4673,3.93,3.02,0.0069,0.118686
4674,0.21,28.31,0.0033,0.059451
4675,19.51,15.72,0.0024,3.066972
4676,4.08,29.6,0.0055,1.20768
4677,21.91,21.23,0.0019,4.651493
4678,7.98,6.66,0.0067,0.531468
4679,15.47,34.7,0.0028,5.36809
4680,9.53,4.18,0.0037,0.398354
4681,18.89,0.47,0.0053,0.088783
4682,0.76,27.32,0.0067,0.207632
4683,2.8,27.45,0.0041,0.7686
4684,10.08,5.24,0.0053,0.528192
4685,16.39,21.6,0.0046,3.54024
4686,10.47,14.23,0.002,1.489881
4687,15.2,6.03,0.0087,0.91656
4688,11.51,35.39,0.0017,4.073389
4689,18.46,12.44,0.009,2.296424
4690,20.07,35.32,0.0064,7.088724
4691,5.21,9.11,0.0028,0.474631
4692,2.59,8.51,0.005,0.220409
4693,11.19,30.08,0.0007,3.365952
4694,19.77,14.4,0.0003,2.84688
4695,23.94,9.79,0.0091,2.343726
4696,16.21,8.97,0.002,1.454037
4697,16.48,25.16,0.005,4.146368
4698,7.71,9.73,0.008,0.750183
4699,17.48,19.94,0.0001,3.485512
4700,14.14,29.23,0.004,4.133122
4701,11.09,8.01,0.0078,0.888309
4702,7.53,8.56,0.003,0.644568
4703,15.01,15.22,0.0026,2.284522
4704,3.49,35.71,0.0059,1.246279
4705,18.2,13.9,0.0097,2.5298
4706,9.08,7.64,0.0058,0.693712
4707,19.04,38.26,0.0043,7.284704
4708,7.91,1.8,0.001,0.14238
4709,10.87,7.54,0.0056,0.819598
4710,1.88,32.91,0.0017,0.618708
4711,4.36,7,0.0008,0.3052
4712,3.14,30.28,0.0079,0.950792
4713,1.98,34.39,0.0041,0.680922
4714,18.77,19,0.0004,3.5663
4715,6.2,15.7,0.0039,0.9734
4716,5.99,22.75,0.0095,1.362725
4717,18.48,6.19,0.0099,1.143912
4718,8.43,1.97,0.0017,0.166071
4719,15.05,16.12,0.0036,2.42606
4720,21.69,18.25,0.0069,3.958425
4721,6.06,19.6,0.0052,1.18776
4722,24.37,1.23,0.0056,0.299751
4723,6.4,14.39,0.0041,0.92096
4724,13.24,36.87,0.0044,4.881588
4725,2.2,29.46,0.0017,0.64812
4726,13.85,7.85,0.0043,1.087225
4727,21.91,23.25,0.0046,5.094075
4728,1.78,5.21,0.0081,0.092738
4729,12.99,25.15,0.0015,3.266985
4730,21.52,18.66,0.0033,4.015632
4731,3.42,23.06,0.0015,0.788652
4732,21.38,27.63,0.0049,5.907294
4733,2.58,25.32,0.0044,0.653256
4734,4.88,39.06,0.0094,1.906128
4735,9.4,37.01,0.0031,3.47894
4736,24.7,5.48,0.0034,1.35356
4737,13.22,37.82,0.0086,4.999804
4738,17.08,21.5,0.0061,3.6722
4739,13.9,0.58,0.0056,0.08062
4740,11,7.38,0.0094,0.8118
4741,9.88,20.93,0.0005,2.067884
4742,10.7,0.59,0.0083,0.06313
4743,20.93,28.75,0.001,6.017375
4744,23.37,39.85,0.0022,9.312945
4745,9.2,31.41,0.0077,2.88972
4746,8.2,8.8,0.0081,0.7216
4747,23.65,15.3,0.0033,3.61845
4748,23.52,18.88,0.0026,4.440576
4749,10.55,24.9,0.0021,2.62695
4750,5.54,14.17,0.009,0.785018
4751,0.46,17.6,0.0061,0.08096
4752,20.1,34.53,0.002,6.94053
4753,21.1,2.05,0.0098,0.43255
4754,12.61,1.65,0.0076,0.208065
4755,17.77,14.9,0.0073,2.64773
4756,9.03,0.92,0.0077,0.083076
4757,8.49,6.02,0.0058,0.511098
4758,9.58,8.49,0.0096,0.813342
4759,7.3,18.11,0.0034,1.32203
4760,23.08,20.99,0.0058,4.844492
4761,4.76,4.31,0.0072,0.205156
4762,20.73,7.21,0.0054,1.494633
4763,18.85,2.71,0.0024,0.510835
4764,22.85,12.84,0.0093,2.93394
4765,3.75,39.65,0.0029,1.486875
4766,21.1,27.36,0.0087,5.77296
4767,21.15,29.12,0.0095,6.15888
4768,0.15,27.81,0.0041,0.041715
4769,0.41,21.82,0.0082,0.089462
4770,8.81,14.36,0.0086,1.265116
4771,6.05,13.84,0.0021,0.83732
4772,14.25,17,0.0006,2.4225
4773,22.2,39.96,0.0091,8.87112
4774,9.72,4.01,0.0093,0.389772
4775,13.11,35.45,0.0082,4.647495
4776,8.17,25.86,0.0058,2.112762
4777,10.23,5.72,0.0016,0.585156
4778,0.21,12.33,0.0068,0.025893
4779,7.53,30.64,0.0056,2.307192
4780,3.72,36.16,0.0064,1.345152
4781,19.98,25.66,0.0043,5.126868
4782,1.19,14.91,0.0074,0.177429
4783,0.8,13.41,0.0057,0.10728
4784,12.31,34.23,0.0003,4.213713
4785,17.77,28.46,0.0025,5.057342
4786,5.24,32.27,0.009,1.690948
4787,4.91,14.13,0.0034,0.693783
4788,9.86,34.03,0.005,3.355358
4789,15.67,32.14,0.0014,5.036338
4790,21.47,37.93,0.0043,8.143571
4791,20.67,9.58,0.0091,1.980186
4792,22.12,27.88,0.0004,6.167056
4793,21.62,6.14,0.005,1.327468
4794,0.76,29.03,0.0068,0.220628
4795,20.17,14.96,0.003,3.017432
4796,21.06,13.27,0.0085,2.794662
4797,3.84,30.66,0.0024,1.177344
4798,1.5,19.28,0.0045,0.2892
4799,15.06,31.29,0.0017,4.712274
4800,8.01,15.65,0.0075,1.253565
4801,1.44,22.53,0.0021,0.324432
4802,3.67,28.17,0.0067,1.033839
4803,12.76,25.95,0.0094,3.31122
4804,7.89,9.27,0.0041,0.731403
4805,21.68,24.02,0.0053,5.207536
4806,18.79,28,0.0038,5.2612
4807,13.67,26.15,0.0066,3.574705
4808,3.57,17.08,0.0081,0.609756
4809,21.3,35.05,0.003,7.46565
4810,24.08,35.42,0.0072,8.529136
4811,21.02,27.77,0.0076,5.837254
4812,19.21,29.09,0.0069,5.588189
4813,3.72,29.87,0.0051,1.111164
4814,8.2,38.76,0.0065,3.17832
4815,9.21,23.77,0.0075,2.189217
4816,24.17,2.44,0.006,0.589748
4817,21.79,31.28,0.009,6.815912
4818,17.46,3.58,0.0093,0.625068
4819,16.73,34.49,0.0016,5.770177
4820,10.52,27.58,0.0093,2.901416
4821,5.79,14.23,0.0083,0.823917
4822,1.23,18.48,0.0053,0.227304
4823,12.19,14.86,0.0056,1.811434
4824,12.68,30.16,0.0035,3.824288
4825,11.65,17.81,0.0082,2.074865
4826,18.39,20.03,0.0015,3.683517
4827,22.41,18.68,0.0022,4.186188
4828,5.64,28.07,0.0087,1.583148
4829,9.11,26.21,0.0015,2.387731
4830,3.82,39.03,0.0036,1.490946
4831,23.51,23.17,0.0048,5.447267
4832,8.34,24.06,0.0042,2.006604
4833,5.72,38.32,0.0042,2.191904
4834,22.05,8.73,0.0073,1.924965
4835,2.15,9.24,0.0093,0.19866
4836,21.99,34.74,0.0054,7.639326
4837,8.77,3.42,0.0025,0.299934
4838,11.4,13.95,0.0038,1.5903
4839,1.28,33.1,0.0004,0.42368
4840,4.41,7.26,0.0038,0.320166
4841,11.91,17.66,0.0076,2.103306
4842,17,15.04,0.009,2.5568
4843,15.09,4,0.0001,0.6036
4844,0.34,30.46,0.0064,0.103564
4845,10.95,33.98,0.0094,3.72081
4846,23.65,7.64,0.0097,1.80686
4847,13.31,9.47,0.0091,1.260457
4848,24.02,34,0.0026,8.1668
4849,14.52,18.76,0.0004,2.723952
4850,13.55,2.29,0.001,0.310295
4851,22.68,22.39,0.0033,5.078052
4852,18.97,19.28,0.005,3.657416
4853,21.38,39.05,0.0085,8.34889
4854,16.82,16.27,0.0046,2.736614
4855,24.6,34.89,0.0031,8.58294
4856,1.38,33.65,0.0086,0.46437
4857,1.77,10.62,0.0096,0.187974
4858,16.5,12.03,0.0047,1.98495
4859,11.75,2.57,0.0004,0.301975
4860,21.24,2.07,0.0074,0.439668
4861,6.56,39.89,0.0017,2.616784
4862,4.89,13.73,0.0001,0.671397
4863,16.34,26.55,0.0043,4.33827
4864,3.46,24.59,0.0065,0.850814
4865,11.14,30.39,0.0088,3.385446
4866,11.18,20.3,0.008,2.26954
4867,5.79,12.29,0.002,0.711591
4868,20.05,28.26,0.0085,5.66613
4869,20.99,22.04,0.0088,4.626196
4870,9.39,15.06,0.001,1.414134
4871,23.04,34.1,0.0013,7.85664
4872,22.54,35.26,0.0091,7.947604
4873,11.89,17.23,0.0008,2.048647
4874,12.43,32.1,0.0091,3.99003
4875,2.67,37.77,0.0087,1.008459
4876,8.56,30.17,0.0045,2.582552
4877,3,14,0.0073,0.42
4878,23.26,22.2,0.0091,5.16372
4879,11.77,24.47,0.0015,2.880119
4880,12.2,39.1,0.0067,4.7702
4881,7.54,32.53,0.0051,2.452762
4882,11,20.38,0.0084,2.2418
4883,17.07,31.41,0.01,5.361687
4884,11.26,30.8,0.0071,3.46808
4885,15.97,29.53,0.0067,4.715941
4886,11.11,5.3,0.002,0.58883
4887,3.65,8.29,0.0044,0.302585
4888,4,10.16,0.0002,0.4064
4889,14.38,16.73,0.0061,2.405774
4890,9.34,8.85,0.0047,0.82659
4891,23.92,31.73,0.0073,7.589816
4892,1.03,10.54,0.0098,0.108562
4893,18.93,11.16,0.0011,2.112588
4894,3.43,24.83,0.0089,0.851669
4895,12.49,2.62,0.0001,0.327238
4896,1.25,2.85,0.0063,0.035625
4897,5,26.3,0.0087,1.315
4898,13.5,5.87,0.0026,0.79245
4899,14.28,35.92,0.008,5.129376
4900,7.89,24.96,0.004,1.969344
4901,5.81,19.36,0.0077,1.124816
4902,4.81,21.43,0.0075,1.030783
4903,2.6,33.18,0.009,0.86268
4904,11.3,26.73,0.009,3.02049
4905,17.12,20.56,0.0008,3.519872
4906,0.06,18.62,0.0022,0.011172
4907,0.21,27.22,0.0065,0.057162
4908,0.95,23.85,0.0015,0.226575
4909,10.51,9.84,0.0088,1.034184
4910,18.79,16.09,0.0074,3.023311
4911,0.53,4.14,0.0093,0.021942
4912,5.28,28.43,0.0028,1.501104
4913,0.78,4.22,0.0098,0.032916
4914,24.22,19.18,0.0069,4.645396
4915,14.32,7.87,0.0013,1.126984
4916,6.35,9.1,0.0087,0.57785
4917,12.22,24.15,0.002,2.95113
4918,21.28,19.41,0.0003,4.130448
4919,5.34,3.98,0.0085,0.212532
4920,21.08,27.54,0.0029,5.805432
4921,18.49,16.06,0.0036,2.969494
4922,23.49,32.76,0.0052,7.695324
4923,0.08,8.64,0.0092,0.006912
4924,8.72,8.98,0.0036,0.783056
4925,13.78,28.87,0.0096,3.978286
4926,14.99,19.18,0.0052,2.875082
4927,11.95,16.19,0.0056,1.934705
4928,4.86,9.84,0.0092,0.478224
4929,2.66,16.55,0.0036,0.44023
4930,6.04,22.88,0.0094,1.381952
4931,23.65,13.23,0.0013,3.128895
4932,18.67,7.63,0.0057,1.424521
4933,11.47,32.66,0.0066,3.746102
4934,4.42,20.24,0.0099,0.894608
4935,24.33,17.3,0.0019,4.20909
4936,12.96,7.18,0.0028,0.930528
4937,7.62,31.55,0.0009,2.40411
4938,0.89,39.36,0.0055,0.350304
4939,10.14,37.87,0.0028,3.840018
4940,13.55,7.32,0.0084,0.99186
4941,0.81,15.22,0.0015,0.123282
4942,4.47,1.3,0.0073,0.05811
4943,14.59,4.34,0.0066,0.633206
4944,3.11,31.84,0.0077,0.990224
4945,21.9,2.29,0.0085,0.50151
4946,13.1,32.48,0.0023,4.25488
4947,19.79,33.66,0.0083,6.661314
4948,8.69,18.67,0.0087,1.622423
4949,6.01,35.75,0.0096,2.148575
4950,12.83,39.2,0.0092,5.02936
4951,5.29,35.5,0.0011,1.87795
4952,19.37,28.6,0.0071,5.53982
4953,16.33,15.66,0.0067,2.557278
4954,12.01,36.25,0.005,4.353625
4955,9.58,15.33,0.0066,1.468614
4956,6.17,21.45,0.0007,1.323465
4957,11.53,23.62,0.0088,2.723386
4958,20.18,19.32,0.002,3.898776
4959,17.55,18.89,0.0047,3.315195
4960,19.21,27.79,0.0061,5.338459
4961,17.54,30.07,0.0065,5.274278
4962,15.5,22.34,0.0095,3.4627
4963,4.79,25.51,0.0079,1.221929
4964,15.82,22.04,0.0058,3.486728
4965,15.75,38.35,0.0043,6.040125
4966,14.58,19.57,0.006,2.853306
4967,2.1,37.83,0.0085,0.79443
4968,8.73,21.43,0.0093,1.870839
4969,23.46,32.1,0.0047,7.53066
4970,0.42,31.07,0.0075,0.130494
4971,1.93,24.71,0.0033,0.476903
4972,20.24,17.22,0.0084,3.485328
4973,0.72,33.57,0.0009,0.241704
4974,9.23,22.05,0.0028,2.035215
4975,3.14,33.8,0.0086,1.06132
4976,8.99,0.96,0.0006,0.086304
4977,18.74,21.62,0.0029,4.051588
4978,24.22,31.75,0.0013,7.68985
4979,4.95,5.5,0.0089,0.27225
4980,5.23,25.31,0.0079,1.323713
4981,0.18,1.11,0.0002,0.001998
4982,22.15,26.75,0.0021,5.925125
4983,10.41,23.33,0.0027,2.428653
4984,5.9,19.82,0.0015,1.16938
4985,11.33,14.94,0.0046,1.692702
4986,24.39,10.92,0.0012,2.663388
4987,3.94,7,0.0049,0.2758
4988,15.02,39.81,0.0032,5.979462
4989,20.76,39.63,0.007,8.227188
4990,15.54,12.95,0.0078,2.01243
4991,10.56,8.83,0.0088,0.932448
4992,3.13,9.08,0.0079,0.284204
4993,5.23,25.29,0.0039,1.322667
4994,3.16,38.1,0.0085,1.20396
4995,15.11,27.75,0.0091,4.193025
4996,1.34,31.86,0.006,0.426924
4997,13.3,15.73,0.0099,2.09209
4998,15.69,32.75,0.005,5.138475
4999,13.41,38.92,0.0086,5.219172
5000,0.36,34.12,0.0093,0.122832
5001,24.98,17.5,0.0009,4.3715
5002,18.41,14.58,0.0003,2.684178
5003,9.58,22.9,0.0025,2.19382
5004,16.77,24.03,0.0063,4.029831
5005,12.29,21.52,0.0008,2.644808
5006,16.19,10.92,0.005,1.767948
5007,13.71,1.84,0.0045,0.252264
5008,14.96,1.38,0.0021,0.206448
5009,6.64,26.7,0.0083,1.77288
5010,24.26,30.53,0.0024,7.406578
5011,6.31,16.61,0.0046,1.048091
5012,11.39,20.53,0.002,2.338367
5013,8.73,7.56,0.0092,0.659988
5014,4.44,37.67,0.001,1.672548
5015,22.99,38.73,0.0062,8.904027
5016,11.79,1.7,0.0044,0.20043
5017,24.11,27.29,0.0082,6.579619
5018,7.28,29.21,0.0001,2.126488
5019,9.14,5.9,0.007,0.53926
5020,16.48,19.87,0.0059,3.274576
5021,5.97,38.67,0.001,2.308599
5022,12.35,7.14,0.0062,0.88179
5023,22.07,2.42,0.0099,0.534094
5024,12.76,33.53,0.0055,4.278428
5025,18.78,7.96,0.0077,1.494888
5026,11.82,2.69,0.0028,0.317958
5027,23.27,16,0.0038,3.7232
5028,16.89,10.02,0.0062,1.692378
5029,24.87,5.27,0.0099,1.310649
5030,3.06,28,0.0073,0.8568
5031,6.21,25.42,0.0099,1.578582
5032,2.2,19.34,0.0074,0.42548
5033,21.67,22.07,0.0061,4.782569
5034,17.49,39.38,0.0021,6.887562
5035,20.79,12.34,0.0061,2.565486
5036,0.2,22.36,0.0043,0.04472
5037,1.29,19.31,0.0012,0.249099
5038,20.92,35.89,0.0026,7.508188
5039,21.14,30.91,0.0081,6.534374
5040,21.87,37.42,0.0022,8.183754
5041,11.21,0.14,0.0087,0.015694
5042,16.25,31.56,0.0019,5.1285
5043,21.67,18.69,0.0077,4.050123
5044,14.72,5.25,0.0093,0.7728
5045,7.36,7.12,0.0079,0.524032
5046,3.13,28.2,0.0039,0.88266
5047,6.44,24.41,0.0031,1.572004
5048,10.48,19.89,0.0017,2.084472
5049,20.16,18.58,0.0063,3.745728
5050,23.2,17.32,0.0075,4.01824
5051,0.05,4.05,0.0042,0.002025
5052,0.35,24.65,0.0056,0.086275
5053,7.87,0.46,0.0068,0.036202
5054,20.84,30.19,0.0029,6.291596
5055,18.72,8.71,0.0014,1.630512
5056,11.48,16.65,0.0049,1.91142
5057,15.49,22.75,0.0041,3.523975
5058,16.19,10.04,0.002,1.625476
5059,9.86,38.52,0.0091,3.798072
5060,8.45,19.45,0.0083,1.643525
5061,9.18,7.05,0.005,0.64719
5062,3.79,26.58,0.0038,1.007382
5063,3.99,17.83,0.0079,0.711417
5064,24.68,9.09,0.0096,2.243412
5065,16.99,16.94,0.003,2.878106
5066,18.3,11.68,0.0044,2.13744
5067,4.67,12.56,0.0083,0.586552
5068,23.37,13.85,0.0015,3.236745
5069,14.9,13.31,0.0045,1.98319
5070,6.48,8.48,0.0083,0.549504
5071,11.86,25.16,0.0093,2.983976
5072,20.97,26.69,0.005,5.596893
5073,3.94,0.48,0.0015,0.018912
5074,23.61,16.85,0.0069,3.978285
5075,12.02,34.3,0.0054,4.12286
5076,19.13,12.54,0.0061,2.398902
5077,20.88,21.41,0.0007,4.470408
5078,23.93,14,0.0027,3.3502
5079,15.53,20.84,0.0073,3.236452
5080,13.79,7.84,0.0074,1.081136
5081,9.39,32.61,0.0011,3.062079
5082,24.78,17.77,0.0035,4.403406
5083,20.38,33.67,0.0075,6.861946
5084,8.67,33.1,0.005,2.86977
5085,20.13,23.19,0.006,4.668147
5086,3.32,8.49,0.0061,0.281868
5087,0.98,20.14,0.006,0.197372
5088,12.46,34.74,0.0065,4.328604
5089,0.78,10.3,0.0019,0.08034
5090,8.5,2.8,0.0037,0.238
5091,12.1,6.47,0.0011,0.78287
5092,12.05,32.51,0.0017,3.917455
5093,1.5,37.91,0.0049,0.56865
5094,4.38,37.08,0.0043,1.624104
5095,4.84,29.83,0.0018,1.443772
5096,9.8,1.75,0.0098,0.1715
5097,19.9,14.93,0.0079,2.97107
